attempt_id	commit	parent_commit	timestamp_utc	accuracy	parameters	status	description	proposal	train_exit	verify_exit
attempt-0014	43c724c7514f5cc4f16537ef9dca354f78c2c940	a93148480beaab8d6b137577f92492d591ef9e03	2026-08-15T04:02:32.996735+00:00	99.990000%	3968	keep	staged prune FF width from 16 to 15	Parameterization-preserving structured compression: remove the single lowest norm-product feed-forward neuron per block from the qualified width-16 incumbent, preserving the 10,000-step exact-test adaptation protocol to continue the staged frontier search.	0	0
attempt-0015	ae0dae9db7304f74048f6746c84de4e63f98be8f	43c724c7514f5cc4f16537ef9dca354f78c2c940	2026-08-15T04:06:40.812236+00:00	99.990000%	3904	keep	staged prune FF width from 15 to 14	Parameterization-preserving structured compression: remove the single lowest-ranked feed-forward neuron per block from width 15 to 14 while holding the 10,000-step exact-test schedule fixed, isolating capacity effects at the emerging adaptation boundary.	0	0
attempt-0016	1bc3a0ba26aefe7b0dd7bb5ddf105f9aa89f8ccf	ae0dae9db7304f74048f6746c84de4e63f98be8f	2026-08-15T04:10:09.070080+00:00	99.990000%	3840	keep	staged prune FF width from 14 to 13	Parameterization-preserving structured compression: remove one lowest norm-product feed-forward neuron per block from the qualified width-14 incumbent, holding the 10,000-step exact-test schedule fixed while recovery time approaches the cap.	0	0
attempt-0017	fe76f2c43e9810347771fde28cda260a0a1db717	1bc3a0ba26aefe7b0dd7bb5ddf105f9aa89f8ccf	2026-08-15T04:13:59.498962+00:00	99.990000%	3776	keep	staged prune FF width from 13 to 12	Parameterization-preserving structured compression: remove one lowest-ranked feed-forward neuron per block from width 13 to 12, using the unchanged incumbent-transfer and 10,000-step exact-test protocol after width 13 recovered by step 6,000.	0	0
attempt-0018	7d7d4d085b088407e2698c3b9d798f1ae489101a	fe76f2c43e9810347771fde28cda260a0a1db717	2026-08-15T04:16:52.706836+00:00	99.990000%	3712	keep	staged prune FF width from 12 to 11	Parameterization-preserving structured compression: remove one lowest norm-product feed-forward neuron per block from width 12 to 11, retaining the same incumbent transfer, optimizer, 10,000-step cap, and exact internal-test stopping rule.	0	0
attempt-0019	293cc4511ec2cf58f6cb367136ad0ab4969efe67	7d7d4d085b088407e2698c3b9d798f1ae489101a	2026-08-15T04:21:10.013080+00:00	99.360000%	3648	keep	staged prune FF width from 11 to 10	Parameterization-preserving structured compression: reduce each feed-forward layer from 11 to 10 neurons by pruning its lowest incumbent norm-product unit, with all transfer and bounded fine-tuning controls unchanged.	0	0
attempt-0020	61bc959d8e77e544f89d83c840171dd3af5cdaa3	293cc4511ec2cf58f6cb367136ad0ab4969efe67	2026-08-15T04:26:46.303877+00:00			error	staged prune FF width from 10 to 9 with extended schedule	Parameterization-preserving structured compression with optimization adaptation: prune one lowest-ranked neuron per block from width 10 to 9 and extend the cosine fine-tuning cap from 10,000 to 20,000 steps because the width-10 curve was still improving as its learning rate vanished near the qualification boundary.	0	
attempt-0021	08b833e43ae5503ee848d3e9c15cbc3d4c725003	293cc4511ec2cf58f6cb367136ad0ab4969efe67	2026-08-15T04:29:42.853148+00:00	100.000000%	3632	keep	remove unused PAD vocabulary entry with exact row remap	Representational vocabulary simplification: fixed-length training and decoding never use PAD, so delete that token, remap the incumbent BOS/EOS embedding and tied-output rows exactly, and preserve all other learned tensors; this removes 16 real parameters without reducing transformer width.	0	0
attempt-0022	517684210e90a814f8c645dc75100b8bf8489336	08b833e43ae5503ee848d3e9c15cbc3d4c725003	2026-08-15T04:32:42.680694+00:00			error	retry staged FF width 9 from repaired vocabulary incumbent	Parameterization-preserving structured compression: prune one lowest-ranked neuron per block from the newly 100%-verified width-10, 14-token incumbent and use the standard 10,000-step cap, testing whether width 9 is recoverable from a stronger trajectory than the failed attempt 20.	0	
attempt-0023	584c39cd436d03ec4395ed42a31b0b5437a808c4	08b833e43ae5503ee848d3e9c15cbc3d4c725003	2026-08-15T04:35:52.412929+00:00	99.990000%	3552	keep	remove all LayerNorm bias vectors	Parameterization-preserving normalization compression: retain learned LayerNorm scales but fix all five additive normalization offsets to zero by using bias-free LayerNorm, copying every remaining incumbent tensor and fine-tuning; this removes 80 parameters without changing attention or feed-forward width.	0	0
attempt-0024	0067245d099c79392ae9df7e1d55ca7eb223122d	584c39cd436d03ec4395ed42a31b0b5437a808c4	2026-08-15T04:38:40.998170+00:00			error	make all LayerNorms non-affine	Representational normalization substitution: replace the five learned-scale, bias-free LayerNorms with fixed non-affine LayerNorms, preserving centering and variance normalization while removing 80 scale parameters; transfer every remaining incumbent tensor and fine-tune under the same bound.	0	
attempt-0025	657cd988887780d44853724124ccc98d96939f05	584c39cd436d03ec4395ed42a31b0b5437a808c4	2026-08-15T04:40:19.705410+00:00	100.000000%	3536	keep	fix final LayerNorm scale to one	Layer-local normalization compression: remove only the 16 learned gain parameters from the final LayerNorm while retaining all four block LayerNorm gains, isolating whether the all-norm failure came from the output normalization or cumulative internal scale removal.	0	0
attempt-0026	ac5fe7779cc6b0e1e21f20bcad2aff779aad645e	657cd988887780d44853724124ccc98d96939f05	2026-08-15T04:43:11.783417+00:00			error	fix second block ln2 scale to one	Layer-local normalization compression: the retained blocks.1.ln2 gain is closest to identity among internal norms, so replace only that 16-parameter scale vector with fixed unit gain while retaining the already fixed final norm and all other learned scales.	0	
attempt-0027	806b6891727f1d4ec3a278f1f3d04dde181a7902	657cd988887780d44853724124ccc98d96939f05	2026-08-15T04:46:32.878830+00:00			error	factor learned position table to rank 10	Representational positional compression: replace the 35x16 learned position embedding with trainable 35x10 and 10x16 factors, initialize them from the incumbent table's rank-10 truncated SVD, and fine-tune; this preserves learned column identity while reducing position parameters from 560 to 510.	0	
attempt-0028	a397cefd4f4ea8622197dee522d766528ff825c8	657cd988887780d44853724124ccc98d96939f05	2026-08-15T04:50:05.719768+00:00			error	tie corresponding operand position embeddings	Representational positional integration: tie the ten A-digit position vectors to their aligned B-digit counterparts while retaining distinct BOS, separator, equals, and output positions; initialize each shared row by averaging its incumbent pair, reducing the learned position table from 35 to 25 rows.	0	
attempt-0029	bb13666c7f0a4fd7a8e799740c1cbd444d36e490	657cd988887780d44853724124ccc98d96939f05	2026-08-15T04:52:07.469105+00:00	100.000000%	3520	keep	remove unused final context position	Dead-parameter elimination: greedy decoding predicts EOS from position 33 and never forwards position 34; shifted training likewise has no target after the final EOS input. Shorten context and learned positions from 35 to 34, copy rows 0-33 exactly, and omit only the loss-irrelevant final input token.	0	0
attempt-0030	95676fa3f9c5720702e7aac38277514fdef98153	bb13666c7f0a4fd7a8e799740c1cbd444d36e490	2026-08-15T04:57:04.974532+00:00	99.470000%	3488	keep	remove explicit BOS token and its context row	Representational sequence simplification: absolute position zero already marks sequence start, so delete BOS from training and greedy prompts, remap the incumbent EOS row, shift learned positions 1-33 to new positions 0-32, and retain the same predictive targets; this removes one tied token row and one context row.	0	0
attempt-0031	1167065a6205560927835832b35b3874b67426d2	95676fa3f9c5720702e7aac38277514fdef98153	2026-08-15T05:02:00.456379+00:00	99.860000%	3456	keep	remove EOS token and EOS-only context row	Representational sequence simplification: output length is fixed at 11 digits, so delete EOS from the vocabulary and training sequence, decode exactly 11 greedy tokens, and remove the final position used only to predict EOS; copy all digit/separator and surviving position tensors exactly.	0	0
attempt-0032	70444a09c3d104b3d298bcfd6d12dd22de93f078	1167065a6205560927835832b35b3874b67426d2	2026-08-15T05:04:41.785148+00:00			error	retry FF width 9 from control-token-free incumbent	Parameterization-preserving structured compression: prune one lowest norm-product feed-forward neuron per block from the 99.86%-verified BOS/EOS-free width-10 incumbent, using the same 10,000-step schedule to test whether the improved sequence representation changes width-9 recoverability.	0	
attempt-0033	863da4344bfafa4e49ca4445b707150050ad4a1a	1167065a6205560927835832b35b3874b67426d2	2026-08-15T05:07:49.304067+00:00			error	remove fixed-field delimiter tokens	Representational sequence simplification: operand widths are always ten digits, so remove '+' and '=' tokens, concatenate the two operands, remap surviving position rows around the deleted delimiters, and retain digit-only greedy output; this removes two tied token vectors and two context rows without narrowing transformer layers.	0	
attempt-0034	e4050dc57c741ec3973c0d50d0493d10593f4970	1167065a6205560927835832b35b3874b67426d2	2026-08-15T05:11:12.539810+00:00			error	factor both QKV projections to rank 11	Parameterization-preserving matrix compression: both retained 48x16 QKV maps have at least 99.7% squared singular energy at rank 11, so replace each with trainable 16-to-11-to-48 factors initialized by truncated SVD, preserving head organization and output projections while saving 128 parameters.	0	
attempt-0035	ed079882f37ca8c5cdea6a305f3c9cbba2fffb00	1167065a6205560927835832b35b3874b67426d2	2026-08-15T05:16:07.210251+00:00	99.940000%	3392	keep	factor block-0 QKV projection to rank 11	Layer-local matrix compression: factor only block 0's 48x16 QKV map to rank 11, where truncated SVD retains 99.88% squared energy, while leaving block 1 full-rank; initialize the two factors by SVD and preserve every other incumbent tensor.	0	0
attempt-0036	fe53582825697cc860581352bef019284369c57a	ed079882f37ca8c5cdea6a305f3c9cbba2fffb00	2026-08-15T05:19:22.217992+00:00	99.990000%	3328	keep	reduce block-0 QKV rank from 11 to 10	Parameterization-preserving staged matrix compression: reconstruct block 0's dense QKV map from the qualified rank-11 factors, truncate it to rank 10 by SVD, transfer all other tensors, and fine-tune under the unchanged bound, removing another 64 parameters.	0	0
attempt-0037	0d906e4dd547bf85ea8444ccd15795528f1fc977	fe53582825697cc860581352bef019284369c57a	2026-08-15T05:21:06.796535+00:00	100.000000%	3264	keep	reduce block-0 QKV rank from 10 to 9	Parameterization-preserving staged matrix compression: reconstruct block 0's QKV map from the qualified rank-10 factors, truncate to rank 9 by SVD, transfer all other tensors, and fine-tune under unchanged controls, removing 64 further parameters.	0	0
attempt-0038	4276ea551934fbecfd6a585a621c189334bd0cd1	0d906e4dd547bf85ea8444ccd15795528f1fc977	2026-08-15T05:23:06.547835+00:00	100.000000%	3200	keep	reduce block-0 QKV rank from 9 to 8	Parameterization-preserving staged matrix compression: reconstruct the 100%-verified rank-9 block-0 QKV map, truncate it to rank 8 by SVD, retain all other tensors and the same fine-tuning protocol, and test another 64-parameter reduction.	0	0
attempt-0039	1b31639f44fba05fc7adbfd14ee298f5262a898b	4276ea551934fbecfd6a585a621c189334bd0cd1	2026-08-15T05:24:58.503634+00:00	100.000000%	3136	keep	reduce block-0 QKV rank from 8 to 7	Parameterization-preserving staged matrix compression: reconstruct the qualified rank-8 block-0 QKV map, truncate it to rank 7 by SVD, transfer all other tensors, and fine-tune under the unchanged 10,000-step exact-test protocol.	0	0
attempt-0040	8c0add2f9690ff92dbfa47caa067f0248f24f076	1b31639f44fba05fc7adbfd14ee298f5262a898b	2026-08-15T05:26:39.904612+00:00	100.000000%	3072	keep	reduce block-0 QKV rank from 7 to 6	Parameterization-preserving staged matrix compression: reconstruct the 100%-verified rank-7 block-0 QKV map, truncate to rank 6 by SVD, preserve the full-rank second attention block and all other tensors, and fine-tune under unchanged controls.	0	0
attempt-0041	a098983ad0795175a1380e7c0a9bccb49c90bb23	8c0add2f9690ff92dbfa47caa067f0248f24f076	2026-08-15T05:28:29.398506+00:00	100.000000%	3008	keep	reduce block-0 QKV rank from 6 to 5	Parameterization-preserving staged matrix compression: reconstruct the qualified rank-6 block-0 QKV map, truncate it to rank 5 by SVD, transfer the remaining incumbent exactly, and fine-tune under the same bounded protocol.	0	0
attempt-0042	10e15f4fe9462d4efcdd414a3f282e34313a4816	a098983ad0795175a1380e7c0a9bccb49c90bb23	2026-08-15T05:30:09.366822+00:00	100.000000%	2944	keep	reduce block-0 QKV rank from 5 to 4	Parameterization-preserving staged matrix compression: reconstruct the 100%-verified rank-5 block-0 QKV map, truncate it to rank 4 by SVD, preserve block 1 at full rank and all other tensors, then fine-tune under unchanged controls.	0	0
attempt-0043	17b3e3e07941669a372fdd29d1ebfa061d6a5711	10e15f4fe9462d4efcdd414a3f282e34313a4816	2026-08-15T05:31:47.742954+00:00	99.980000%	2880	keep	reduce block-0 QKV rank from 4 to 3	Parameterization-preserving staged matrix compression: reconstruct the qualified rank-4 block-0 QKV map, truncate it to rank 3 by SVD, transfer all remaining incumbent tensors, and fine-tune under unchanged bounded controls.	0	0
attempt-0044	12cffa66fbf958cba142f7348f4ce7c992983513	17b3e3e07941669a372fdd29d1ebfa061d6a5711	2026-08-15T05:33:36.871245+00:00	100.000000%	2816	keep	reduce block-0 QKV rank from 3 to 2	Parameterization-preserving staged matrix compression: reconstruct the qualified rank-3 block-0 QKV map, truncate it to a two-dimensional shared projection subspace by SVD, leave block 1 full-rank, and fine-tune under unchanged controls.	0	0
attempt-0045	1f85afab75a7bf55db236ab0d7de093d576fefe0	12cffa66fbf958cba142f7348f4ce7c992983513	2026-08-15T05:35:15.950272+00:00	100.000000%	2752	keep	reduce block-0 QKV rank from 2 to 1	Parameterization-preserving staged matrix compression: reconstruct the 100%-verified rank-2 block-0 QKV map, truncate it to rank 1 by SVD, retain the full-rank second self-attention layer and all other tensors, and fine-tune under unchanged controls.	0	0
attempt-0046	5cd2f0cc65bfd9485fc05e4512cfa6f260968ed5	1f85afab75a7bf55db236ab0d7de093d576fefe0	2026-08-15T05:36:49.008669+00:00	100.000000%	2432	keep	ablate first block attention branch	Representational attention-organization change: the qualified first QKV path has only rank 1, so replace the entire first attention residual branch with a parameter-free zero map while retaining that block's feed-forward branch and the full causal self-attention layer in block 1; fine-tune all surviving tensors.	0	0
attempt-0047	6937849dafdc76df8b3f34a40446baf1ea8ffdfa	5cd2f0cc65bfd9485fc05e4512cfa6f260968ed5	2026-08-15T05:38:02.419924+00:00	100.000000%	2416	keep	remove dead pre-attention norm in block 0	Exact dead-parameter elimination: block 0's attention branch is a parameter-free zero map, so its ln1 output cannot affect any residual state; replace that learned-scale LayerNorm with identity, removing 16 actual parameters without changing the model function.	0	0
attempt-0048	765e96480b4363ecd7d531c89ad9fd6d1ed0d91d	6937849dafdc76df8b3f34a40446baf1ea8ffdfa	2026-08-15T05:40:40.411342+00:00			error	prune block-0 FF width from 10 to 9	Layer-local structured compression: with block 0 attention ablated, reduce only its remaining feed-forward branch from width 10 to 9 by retaining the highest incumbent norm-product neurons; keep block 1 feed-forward width 10 and its full self-attention unchanged.	0	
attempt-0049	3edc01be5b430cbcc7ab43d00afd0360b0a66af4	6937849dafdc76df8b3f34a40446baf1ea8ffdfa	2026-08-15T05:44:34.707927+00:00	99.920000%	2384	keep	prune block-1 FF width from 10 to 9	Layer-local structured compression: retain the critical block-0 feed-forward branch at width 10 and reduce only block 1's FF width to 9 using norm-product survivor transfer, with the sole self-attention layer unchanged.	0	0
attempt-0050	f67d775c938bbe4835763aa8985a54a05bd6feb7	3edc01be5b430cbcc7ab43d00afd0360b0a66af4	2026-08-15T05:48:02.194419+00:00	99.050000%	2352	keep	prune block-1 FF width from 9 to 8	Layer-local staged compression: remove one additional low norm-product neuron from block 1's feed-forward branch (9 to 8), keep the sensitive block-0 FF at width 10 and the sole self-attention layer full-rank, and use the unchanged 10,000-step bound.	0	0
attempt-0051	68f78bdda99610fed8b7f60c345ec7f849d0caab	f67d775c938bbe4835763aa8985a54a05bd6feb7	2026-08-15T05:52:33.245433+00:00			error	prune block-1 FF width to 7 with extended schedule	Layer-local structured compression with optimization adaptation: reduce block 1 FF from width 8 to 7, keep block 0 FF and the sole attention layer unchanged, and extend the cosine cap to 20,000 steps because the width-8 parent finished only 0.05 points above qualification.	0	
attempt-0052	fbb15022908b207da03e3da45743562068c86480	f67d775c938bbe4835763aa8985a54a05bd6feb7	2026-08-15T05:56:32.034962+00:00	99.560000%	2320	keep	factor sole attention output projection to rank 7	Parameterization-preserving attention compression: replace block 1's 16x16 attention output projection with trainable rank-7 factors initialized by truncated SVD, restoring its qualified FF width 8 and leaving QKV full-rank; this removes 32 parameters.	0	0
attempt-0053	4bff7a87a5cbbdb60cbd981d2dae075ea907ff16	fbb15022908b207da03e3da45743562068c86480	2026-08-15T05:59:02.405725+00:00			error	reduce attention output rank from 7 to 6	Parameterization-preserving staged attention compression: reconstruct block 1's accepted rank-7 output projection, truncate it to rank 6 by SVD, preserve QKV and both feed-forward branches, and fine-tune under the unchanged 10,000-step bound.	0	
attempt-0054	b66257663fbb58e61f120696245b40b04d8edf36	fbb15022908b207da03e3da45743562068c86480	2026-08-15T06:02:02.016661+00:00			error	share block-1 LayerNorm gain vectors	Representational normalization sharing: tie block 1's pre-attention and pre-feed-forward LayerNorm gain vectors into one 16-parameter vector initialized as their incumbent average, retaining both normalization operations and all attention/FF widths while reducing unique parameters by 16.	0	
attempt-0055	0206802987d287a90b3aea8e66c9febd0ce2ee3a	fbb15022908b207da03e3da45743562068c86480	2026-08-15T06:05:16.351414+00:00			error	tie query and key projections in sole attention	Representational attention-organization change: replace the sole layer's distinct 16x16 query and key maps with one shared map initialized from their average, retain a separate value map and the accepted rank-7 output factors, and preserve causal masking; this saves 256 unique parameters.	0	
attempt-0056	ef6684b454e726b35ccb601de3a16e83afab2b37	fbb15022908b207da03e3da45743562068c86480	2026-08-15T06:08:15.152304+00:00			error	use multi-query sole attention	Representational attention-organization change: keep separate 16-dimensional queries for both heads but share one 8-dimensional key and one value projection across them, initialized by averaging incumbent K/V heads; retain causal masking and the accepted rank-7 output factors, saving 256 parameters.	0	
attempt-0057	3a6ed8a6f7f88499675cdf60fcd01c413ab83f1b	fbb15022908b207da03e3da45743562068c86480	2026-08-15T06:11:14.890516+00:00			error	share only value projection across attention heads	Representational attention-organization change: retain full distinct query and key maps for both heads but replace their two value projections with one shared 8-dimensional value map initialized by head averaging; keep causal masking and the accepted rank-7 output factors, saving 128 parameters.	0	
attempt-0058	b70117c43004412996c4d34107eb8df973bf1733	fbb15022908b207da03e3da45743562068c86480	2026-08-15T06:14:06.267342+00:00			error	share only key projection across attention heads	Representational attention-organization change: retain full per-head query and value projections but replace the two key maps with one shared 8-dimensional key projection initialized by head averaging; keep causal masking and rank-7 output factors, saving 128 parameters.	0	
attempt-0059	92a47cfc41473c482aa0848024c4ab7b63d43974	fbb15022908b207da03e3da45743562068c86480	2026-08-15T06:16:50.102555+00:00			error	share only query projection across attention heads	Representational attention-organization change: replace the two query maps with one shared 8-dimensional query projection initialized by head averaging, while retaining full per-head key and value maps, causal masking, and the accepted rank-7 output factors; this saves 128 parameters.	0	
attempt-0060	639f4105f08f3c70bddbfb3e1a0af62195c47522	fbb15022908b207da03e3da45743562068c86480	2026-08-15T06:20:28.849593+00:00			error	use fixed input-only separator embeddings	Representational token substitution: retain ten learned digit embeddings tied to a ten-logit digit output head, but replace input-only '+' and '=' vectors with fixed orthogonal basis features; explicit delimiters remain in the prompt while their two learned/output rows are removed, saving 32 parameters.	0	
attempt-0061	7f41b1923a6719efeff1367bb11494092c712fd8	fbb15022908b207da03e3da45743562068c86480	2026-08-15T15:57:57.067173+00:00	99.900000%	2304	keep	freeze input-only equals embedding row	Parameterization-preserving token compression: equals is consumed once in the fixed prompt but is never a target, so retain its incumbent vector exactly as a non-parameter buffer and remove only its tied output class; keep the other eleven learned rows unchanged, saving 16 parameters without altering prompt activations.	0	0
attempt-0062	eeda9dd15a743f3dc0ca6667ee23a4e6ecb1e5c7	7f41b1923a6719efeff1367bb11494092c712fd8	2026-08-15T15:58:32.582454+00:00			error	freeze input-only plus embedding row	Parameterization-preserving token compression: after exact freezing of the equals row qualified, also move the input-only plus vector from the learned tied table into a checkpointed non-parameter buffer copied exactly from the incumbent; keep all ten digit rows learned and tied, saving 16 more parameters without changing prompt embeddings.	1	
attempt-0063	c2d380a77df8cf61fc15e90c59d76eaf3e356835	7f41b1923a6719efeff1367bb11494092c712fd8	2026-08-15T16:02:47.887533+00:00	99.980000%	2288	keep	retry exact freezing of input-only plus row	Parameterization-preserving token compression retry after fixing a stale initializer guard: copy the incumbent plus vector exactly into a checkpointed buffer, retain the already fixed equals buffer and all ten learned tied digit rows, and remove the plus output class for a 16-parameter reduction with unchanged prompt activations.	0	0
attempt-0064	e6edcc9959cda095dbb8db1e22d1ee2ba3a6f6c8	c2d380a77df8cf61fc15e90c59d76eaf3e356835	2026-08-15T16:03:49.381133+00:00			error	tie nearest aligned operand position pair	Representational positional integration: incumbent positions 4 and 15 are aligned A/B digit columns and their learned vectors differ by only 0.0026 in L2 norm, the closest distinct pair; make just those positions share their averaged row while leaving the other 30 rows independent, saving 16 parameters and isolating one-column tying from the earlier failed all-column tie.	1	
attempt-0065	9633502d316cd6fc4c88d15a7855cf4f8fbc39c6	c2d380a77df8cf61fc15e90c59d76eaf3e356835	2026-08-15T16:07:59.061157+00:00	99.980000%	2272	keep	retry tying nearest operand position pair	Representational positional integration retry after repairing the accepted separator-buffer transition: positions 4 and 15 are aligned operand columns and the closest incumbent pair at L2 distance 0.0026, so share only their averaged row and leave all other positions independent, saving 16 parameters.	0	0
attempt-0066	32a18f8bb8a7bc5f6dd4666399b030d40cf5f83c	9633502d316cd6fc4c88d15a7855cf4f8fbc39c6	2026-08-15T16:10:54.252090+00:00	99.990000%	2256	keep	tie second-nearest aligned operand positions	Representational positional integration: preserve the accepted 4/15 shared row and additionally tie aligned operand positions 7 and 18, the next-closest incumbent pair (prior L2 distance 0.0057), initializing the new shared row by averaging while leaving 28 other position rows independent; this staged change saves 16 parameters.	0	0
attempt-0067	9ac41cb463057b253eb69b62a6d695768e9c1600	32a18f8bb8a7bc5f6dd4666399b030d40cf5f83c	2026-08-15T16:11:58.565067+00:00	99.990000%	2240	keep	tie third aligned operand position pair	Representational positional integration: preserve the two qualified shared operand-column rows and add only positions 5 and 16, the next-nearest aligned incumbent pair (prior L2 distance 0.0070), initialized by their average; this reduces the learned position table by one 16-parameter row.	0	0
attempt-0068	8d2384b6fb179213a233850864c0626a2500a0d4	9ac41cb463057b253eb69b62a6d695768e9c1600	2026-08-15T16:13:01.629319+00:00	99.990000%	2224	keep	tie fourth aligned operand position pair	Representational positional integration: add only the aligned positions 3 and 14 to the three qualified shared operand-column pairs; their incumbent vectors were the next-nearest pair (prior L2 distance 0.0072), so average them into one learned row and save 16 parameters while retaining all other rows.	0	0
attempt-0069	c63870566f467a18e7f5923d8958ab9f25323512	8d2384b6fb179213a233850864c0626a2500a0d4	2026-08-15T16:14:06.649984+00:00	99.990000%	2208	keep	tie fifth aligned operand position pair	Representational positional integration: add aligned positions 2 and 13 to the four accepted shared operand-column rows; their prior L2 separation was 0.0110, and averaging this single pair removes one 16-parameter position row while preserving independent representations elsewhere.	0	0
