Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 2, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 23,068,928
  scalars                 : 16
  total                   : 39,846,160
Estimated FLOPs per token: 2.264940e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011336 | lrm: 1.00 | dt: 224382ms | tok/sec: 876 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.874871 | lrm: 1.00 | dt: 121ms | tok/sec: 1,625,406 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.508314 | lrm: 1.00 | dt: 117ms | tok/sec: 1,682,857 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.060611 | lrm: 1.00 | dt: 117ms | tok/sec: 1,683,623 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.694114 | lrm: 1.00 | dt: 111ms | tok/sec: 1,766,787 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.370689 | lrm: 1.00 | dt: 112ms | tok/sec: 1,756,430 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.118241 | lrm: 1.00 | dt: 128ms | tok/sec: 1,536,990 | mfu: 35.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.905846 | lrm: 1.00 | dt: 130ms | tok/sec: 1,514,712 | mfu: 34.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.730933 | lrm: 1.00 | dt: 114ms | tok/sec: 1,722,526 | mfu: 39.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.579947 | lrm: 1.00 | dt: 141ms | tok/sec: 1,390,306 | mfu: 31.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.457971 | lrm: 1.00 | dt: 126ms | tok/sec: 1,558,420 | mfu: 35.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.348636 | lrm: 1.00 | dt: 111ms | tok/sec: 1,769,064 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.255393 | lrm: 1.00 | dt: 140ms | tok/sec: 1,401,563 | mfu: 32.1% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.172767 | lrm: 1.00 | dt: 116ms | tok/sec: 1,689,445 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00044 (1.4%) | loss: 5.145447 | lrm: 1.00 | dt: 116ms | tok/sec: 1,699,921 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00045 (1.4%) | loss: 5.125275 | lrm: 1.00 | dt: 129ms | tok/sec: 1,520,973 | mfu: 34.8% | epoch: 1 | remaining: 296s    
step 00046 (1.5%) | loss: 5.102092 | lrm: 1.00 | dt: 114ms | tok/sec: 1,729,350 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00047 (1.5%) | loss: 5.079733 | lrm: 1.00 | dt: 117ms | tok/sec: 1,677,121 | mfu: 38.4% | epoch: 1 | remaining: 295s    
step 00048 (1.5%) | loss: 5.057817 | lrm: 1.00 | dt: 134ms | tok/sec: 1,471,742 | mfu: 33.7% | epoch: 1 | remaining: 295s    
step 00049 (1.6%) | loss: 5.037420 | lrm: 1.00 | dt: 137ms | tok/sec: 1,433,457 | mfu: 32.8% | epoch: 1 | remaining: 295s    
step 00050 (1.6%) | loss: 5.015969 | lrm: 1.00 | dt: 115ms | tok/sec: 1,709,659 | mfu: 39.1% | epoch: 1 | remaining: 295s    
step 00051 (1.7%) | loss: 4.992294 | lrm: 1.00 | dt: 128ms | tok/sec: 1,536,291 | mfu: 35.2% | epoch: 1 | remaining: 295s    
step 00052 (1.7%) | loss: 4.969058 | lrm: 1.00 | dt: 115ms | tok/sec: 1,712,460 | mfu: 39.2% | epoch: 1 | remaining: 295s    
step 00053 (1.8%) | loss: 4.949769 | lrm: 1.00 | dt: 112ms | tok/sec: 1,748,438 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00054 (1.8%) | loss: 4.929255 | lrm: 1.00 | dt: 144ms | tok/sec: 1,360,725 | mfu: 31.1% | epoch: 1 | remaining: 294s    
step 00055 (1.8%) | loss: 4.906419 | lrm: 1.00 | dt: 116ms | tok/sec: 1,692,834 | mfu: 38.7% | epoch: 1 | remaining: 294s    
step 00056 (1.9%) | loss: 4.888044 | lrm: 1.00 | dt: 124ms | tok/sec: 1,579,873 | mfu: 36.2% | epoch: 1 | remaining: 294s    
step 00057 (1.9%) | loss: 4.865383 | lrm: 1.00 | dt: 113ms | tok/sec: 1,733,337 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00058 (2.0%) | loss: 4.842188 | lrm: 1.00 | dt: 113ms | tok/sec: 1,737,570 | mfu: 39.8% | epoch: 1 | remaining: 294s    
step 00059 (2.0%) | loss: 4.819706 | lrm: 1.00 | dt: 129ms | tok/sec: 1,529,243 | mfu: 35.0% | epoch: 1 | remaining: 294s    
step 00060 (2.0%) | loss: 4.800223 | lrm: 1.00 | dt: 113ms | tok/sec: 1,746,553 | mfu: 40.0% | epoch: 1 | remaining: 294s    
step 00061 (2.1%) | loss: 4.779934 | lrm: 1.00 | dt: 116ms | tok/sec: 1,693,828 | mfu: 38.8% | epoch: 1 | remaining: 294s    
step 00062 (2.1%) | loss: 4.757929 | lrm: 1.00 | dt: 135ms | tok/sec: 1,451,587 | mfu: 33.2% | epoch: 1 | remaining: 294s    
step 00063 (2.2%) | loss: 4.733134 | lrm: 1.00 | dt: 112ms | tok/sec: 1,757,894 | mfu: 40.2% | epoch: 1 | remaining: 293s    
step 00064 (2.2%) | loss: 4.711492 | lrm: 1.00 | dt: 114ms | tok/sec: 1,728,447 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00065 (2.2%) | loss: 4.684683 | lrm: 1.00 | dt: 129ms | tok/sec: 1,523,857 | mfu: 34.9% | epoch: 1 | remaining: 293s    
step 00066 (2.3%) | loss: 4.664190 | lrm: 1.00 | dt: 114ms | tok/sec: 1,725,001 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00067 (2.3%) | loss: 4.646135 | lrm: 1.00 | dt: 114ms | tok/sec: 1,730,791 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00068 (2.4%) | loss: 4.626631 | lrm: 1.00 | dt: 123ms | tok/sec: 1,601,550 | mfu: 36.7% | epoch: 1 | remaining: 293s    
step 00069 (2.4%) | loss: 4.606134 | lrm: 1.00 | dt: 116ms | tok/sec: 1,699,049 | mfu: 38.9% | epoch: 1 | remaining: 293s    
step 00070 (2.4%) | loss: 4.584677 | lrm: 1.00 | dt: 116ms | tok/sec: 1,699,025 | mfu: 38.9% | epoch: 1 | remaining: 293s    
step 00071 (2.5%) | loss: 4.565457 | lrm: 1.00 | dt: 116ms | tok/sec: 1,694,538 | mfu: 38.8% | epoch: 1 | remaining: 292s    
step 00072 (2.5%) | loss: 4.540867 | lrm: 1.00 | dt: 119ms | tok/sec: 1,651,126 | mfu: 37.8% | epoch: 1 | remaining: 292s    
step 00073 (2.6%) | loss: 4.520024 | lrm: 1.00 | dt: 114ms | tok/sec: 1,722,378 | mfu: 39.4% | epoch: 1 | remaining: 292s    
step 00074 (2.6%) | loss: 4.505958 | lrm: 1.00 | dt: 125ms | tok/sec: 1,574,058 | mfu: 36.0% | epoch: 1 | remaining: 292s    
step 00075 (2.6%) | loss: 4.485964 | lrm: 1.00 | dt: 111ms | tok/sec: 1,767,821 | mfu: 40.5% | epoch: 1 | remaining: 292s    
step 00076 (2.7%) | loss: 4.465161 | lrm: 1.00 | dt: 114ms | tok/sec: 1,727,661 | mfu: 39.5% | epoch: 1 | remaining: 292s    
step 00077 (2.7%) | loss: 4.448997 | lrm: 1.00 | dt: 114ms | tok/sec: 1,727,582 | mfu: 39.5% | epoch: 1 | remaining: 292s    
step 00078 (2.7%) | loss: 4.426930 | lrm: 1.00 | dt: 125ms | tok/sec: 1,575,297 | mfu: 36.1% | epoch: 1 | remaining: 292s    
step 00079 (2.8%) | loss: 4.410982 | lrm: 1.00 | dt: 114ms | tok/sec: 1,730,660 | mfu: 39.6% | epoch: 1 | remaining: 292s    
step 00080 (2.8%) | loss: 4.397203 | lrm: 1.00 | dt: 126ms | tok/sec: 1,564,959 | mfu: 35.8% | epoch: 1 | remaining: 291s    
step 00081 (2.9%) | loss: 4.379024 | lrm: 1.00 | dt: 120ms | tok/sec: 1,637,754 | mfu: 37.5% | epoch: 1 | remaining: 291s    
step 00082 (2.9%) | loss: 4.356546 | lrm: 1.00 | dt: 114ms | tok/sec: 1,728,596 | mfu: 39.6% | epoch: 1 | remaining: 291s    
step 00083 (2.9%) | loss: 4.339279 | lrm: 1.00 | dt: 114ms | tok/sec: 1,726,970 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00084 (3.0%) | loss: 4.318828 | lrm: 1.00 | dt: 123ms | tok/sec: 1,593,461 | mfu: 36.5% | epoch: 1 | remaining: 291s    
step 00085 (3.0%) | loss: 4.304809 | lrm: 1.00 | dt: 113ms | tok/sec: 1,746,228 | mfu: 40.0% | epoch: 1 | remaining: 291s    
step 00086 (3.1%) | loss: 4.283624 | lrm: 1.00 | dt: 116ms | tok/sec: 1,691,525 | mfu: 38.7% | epoch: 1 | remaining: 291s    
step 00087 (3.1%) | loss: 4.264956 | lrm: 1.00 | dt: 119ms | tok/sec: 1,650,369 | mfu: 37.8% | epoch: 1 | remaining: 291s    
step 00088 (3.1%) | loss: 4.251135 | lrm: 1.00 | dt: 115ms | tok/sec: 1,714,436 | mfu: 39.2% | epoch: 1 | remaining: 290s    
step 00089 (3.2%) | loss: 4.233050 | lrm: 1.00 | dt: 114ms | tok/sec: 1,719,534 | mfu: 39.4% | epoch: 1 | remaining: 290s    
step 00090 (3.2%) | loss: 4.219461 | lrm: 1.00 | dt: 136ms | tok/sec: 1,441,798 | mfu: 33.0% | epoch: 1 | remaining: 290s    
step 00091 (3.3%) | loss: 4.201958 | lrm: 1.00 | dt: 111ms | tok/sec: 1,769,812 | mfu: 40.5% | epoch: 1 | remaining: 290s    
step 00092 (3.3%) | loss: 4.182846 | lrm: 1.00 | dt: 114ms | tok/sec: 1,730,369 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00093 (3.3%) | loss: 4.163368 | lrm: 1.00 | dt: 114ms | tok/sec: 1,731,688 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00094 (3.4%) | loss: 4.146562 | lrm: 1.00 | dt: 114ms | tok/sec: 1,728,085 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00095 (3.4%) | loss: 4.132665 | lrm: 1.00 | dt: 115ms | tok/sec: 1,709,748 | mfu: 39.1% | epoch: 1 | remaining: 290s    
step 00096 (3.5%) | loss: 4.117634 | lrm: 1.00 | dt: 143ms | tok/sec: 1,374,284 | mfu: 31.5% | epoch: 1 | remaining: 289s    
step 00097 (3.5%) | loss: 4.107492 | lrm: 1.00 | dt: 111ms | tok/sec: 1,772,426 | mfu: 40.6% | epoch: 1 | remaining: 289s    
step 00098 (3.5%) | loss: 4.093724 | lrm: 1.00 | dt: 115ms | tok/sec: 1,713,485 | mfu: 39.2% | epoch: 1 | remaining: 289s    
step 00099 (3.6%) | loss: 4.078396 | lrm: 1.00 | dt: 130ms | tok/sec: 1,510,373 | mfu: 34.6% | epoch: 1 | remaining: 289s    
step 00100 (3.6%) | loss: 4.063820 | lrm: 1.00 | dt: 112ms | tok/sec: 1,756,468 | mfu: 40.2% | epoch: 1 | remaining: 289s    
step 00101 (3.7%) | loss: 4.049453 | lrm: 1.00 | dt: 113ms | tok/sec: 1,745,315 | mfu: 39.9% | epoch: 1 | remaining: 289s    
step 00102 (3.7%) | loss: 4.037965 | lrm: 1.00 | dt: 125ms | tok/sec: 1,571,982 | mfu: 36.0% | epoch: 1 | remaining: 289s    
step 00103 (3.7%) | loss: 4.024854 | lrm: 1.00 | dt: 112ms | tok/sec: 1,762,508 | mfu: 40.3% | epoch: 1 | remaining: 289s    
step 00104 (3.8%) | loss: 4.014996 | lrm: 1.00 | dt: 118ms | tok/sec: 1,673,207 | mfu: 38.3% | epoch: 1 | remaining: 289s    
step 00105 (3.8%) | loss: 4.007449 | lrm: 1.00 | dt: 115ms | tok/sec: 1,707,171 | mfu: 39.1% | epoch: 1 | remaining: 288s    
step 00106 (3.9%) | loss: 3.995915 | lrm: 1.00 | dt: 116ms | tok/sec: 1,698,923 | mfu: 38.9% | epoch: 1 | remaining: 288s    
step 00107 (3.9%) | loss: 3.981734 | lrm: 1.00 | dt: 117ms | tok/sec: 1,674,937 | mfu: 38.3% | epoch: 1 | remaining: 288s    
step 00108 (3.9%) | loss: 3.966060 | lrm: 1.00 | dt: 122ms | tok/sec: 1,608,793 | mfu: 36.8% | epoch: 1 | remaining: 288s    
step 00109 (4.0%) | loss: 3.954745 | lrm: 1.00 | dt: 113ms | tok/sec: 1,744,813 | mfu: 39.9% | epoch: 1 | remaining: 288s    
step 00110 (4.0%) | loss: 3.942407 | lrm: 1.00 | dt: 113ms | tok/sec: 1,738,244 | mfu: 39.8% | epoch: 1 | remaining: 288s    
step 00111 (4.0%) | loss: 3.929752 | lrm: 1.00 | dt: 126ms | tok/sec: 1,556,982 | mfu: 35.6% | epoch: 1 | remaining: 288s    
step 00112 (4.1%) | loss: 3.923358 | lrm: 1.00 | dt: 113ms | tok/sec: 1,736,293 | mfu: 39.7% | epoch: 1 | remaining: 288s    
step 00113 (4.1%) | loss: 3.912014 | lrm: 1.00 | dt: 115ms | tok/sec: 1,708,529 | mfu: 39.1% | epoch: 1 | remaining: 288s    
step 00114 (4.2%) | loss: 3.903660 | lrm: 1.00 | dt: 130ms | tok/sec: 1,510,630 | mfu: 34.6% | epoch: 1 | remaining: 287s    
step 00115 (4.2%) | loss: 3.894305 | lrm: 1.00 | dt: 124ms | tok/sec: 1,585,321 | mfu: 36.3% | epoch: 1 | remaining: 287s    
step 00116 (4.2%) | loss: 3.885191 | lrm: 1.00 | dt: 112ms | tok/sec: 1,755,959 | mfu: 40.2% | epoch: 1 | remaining: 287s    
step 00117 (4.3%) | loss: 3.877402 | lrm: 1.00 | dt: 113ms | tok/sec: 1,743,765 | mfu: 39.9% | epoch: 1 | remaining: 287s    
step 00118 (4.3%) | loss: 3.861285 | lrm: 1.00 | dt: 117ms | tok/sec: 1,677,400 | mfu: 38.4% | epoch: 1 | remaining: 287s    
step 00119 (4.4%) | loss: 3.853426 | lrm: 1.00 | dt: 138ms | tok/sec: 1,421,762 | mfu: 32.5% | epoch: 1 | remaining: 287s    
step 00120 (4.4%) | loss: 3.844381 | lrm: 1.00 | dt: 119ms | tok/sec: 1,655,638 | mfu: 37.9% | epoch: 1 | remaining: 287s    
step 00121 (4.4%) | loss: 3.835110 | lrm: 1.00 | dt: 112ms | tok/sec: 1,751,458 | mfu: 40.1% | epoch: 1 | remaining: 287s    
step 00122 (4.5%) | loss: 3.832021 | lrm: 1.00 | dt: 116ms | tok/sec: 1,701,686 | mfu: 39.0% | epoch: 1 | remaining: 286s    
step 00123 (4.5%) | loss: 3.818322 | lrm: 1.00 | dt: 117ms | tok/sec: 1,686,798 | mfu: 38.6% | epoch: 1 | remaining: 286s    
step 00124 (4.6%) | loss: 3.814003 | lrm: 1.00 | dt: 115ms | tok/sec: 1,704,937 | mfu: 39.0% | epoch: 1 | remaining: 286s    
step 00125 (4.6%) | loss: 3.802202 | lrm: 1.00 | dt: 137ms | tok/sec: 1,438,355 | mfu: 32.9% | epoch: 1 | remaining: 286s    
step 00126 (4.6%) | loss: 3.793562 | lrm: 1.00 | dt: 111ms | tok/sec: 1,764,186 | mfu: 40.4% | epoch: 1 | remaining: 286s    
step 00127 (4.7%) | loss: 3.776649 | lrm: 1.00 | dt: 138ms | tok/sec: 1,423,719 | mfu: 32.6% | epoch: 1 | remaining: 286s    
step 00128 (4.7%) | loss: 3.769660 | lrm: 1.00 | dt: 111ms | tok/sec: 1,767,105 | mfu: 40.4% | epoch: 1 | remaining: 286s    
step 00129 (4.8%) | loss: 3.762286 | lrm: 1.00 | dt: 119ms | tok/sec: 1,658,868 | mfu: 38.0% | epoch: 1 | remaining: 286s    
step 00130 (4.8%) | loss: 3.762340 | lrm: 1.00 | dt: 111ms | tok/sec: 1,766,325 | mfu: 40.4% | epoch: 1 | remaining: 285s    
step 00131 (4.8%) | loss: 3.759678 | lrm: 1.00 | dt: 117ms | tok/sec: 1,682,761 | mfu: 38.5% | epoch: 1 | remaining: 285s    
step 00132 (4.9%) | loss: 3.754845 | lrm: 1.00 | dt: 115ms | tok/sec: 1,711,522 | mfu: 39.2% | epoch: 1 | remaining: 285s    
step 00133 (4.9%) | loss: 3.745194 | lrm: 1.00 | dt: 123ms | tok/sec: 1,597,214 | mfu: 36.6% | epoch: 1 | remaining: 285s    
step 00134 (5.0%) | loss: 3.738937 | lrm: 1.00 | dt: 115ms | tok/sec: 1,713,699 | mfu: 39.2% | epoch: 1 | remaining: 285s    
step 00135 (5.0%) | loss: 3.731215 | lrm: 1.00 | dt: 117ms | tok/sec: 1,676,115 | mfu: 38.4% | epoch: 1 | remaining: 285s    
step 00136 (5.0%) | loss: 3.723386 | lrm: 1.00 | dt: 116ms | tok/sec: 1,691,257 | mfu: 38.7% | epoch: 1 | remaining: 285s    
step 00137 (5.1%) | loss: 3.718511 | lrm: 1.00 | dt: 135ms | tok/sec: 1,457,841 | mfu: 33.4% | epoch: 1 | remaining: 285s    
step 00138 (5.1%) | loss: 3.714392 | lrm: 1.00 | dt: 112ms | tok/sec: 1,751,867 | mfu: 40.1% | epoch: 1 | remaining: 285s    
step 00139 (5.2%) | loss: 3.707770 | lrm: 1.00 | dt: 112ms | tok/sec: 1,749,314 | mfu: 40.0% | epoch: 1 | remaining: 284s    
step 00140 (5.2%) | loss: 3.701976 | lrm: 1.00 | dt: 112ms | tok/sec: 1,756,546 | mfu: 40.2% | epoch: 1 | remaining: 284s    
step 00141 (5.2%) | loss: 3.695657 | lrm: 1.00 | dt: 116ms | tok/sec: 1,693,366 | mfu: 38.8% | epoch: 1 | remaining: 284s    
step 00142 (5.3%) | loss: 3.693021 | lrm: 1.00 | dt: 116ms | tok/sec: 1,688,947 | mfu: 38.7% | epoch: 1 | remaining: 284s    
step 00143 (5.3%) | loss: 3.690209 | lrm: 1.00 | dt: 117ms | tok/sec: 1,683,138 | mfu: 38.5% | epoch: 1 | remaining: 284s    
step 00144 (5.4%) | loss: 3.685706 | lrm: 1.00 | dt: 116ms | tok/sec: 1,697,958 | mfu: 38.9% | epoch: 1 | remaining: 284s    
step 00145 (5.4%) | loss: 3.686528 | lrm: 1.00 | dt: 116ms | tok/sec: 1,694,796 | mfu: 38.8% | epoch: 1 | remaining: 284s    
step 00146 (5.4%) | loss: 3.686146 | lrm: 1.00 | dt: 116ms | tok/sec: 1,689,729 | mfu: 38.7% | epoch: 1 | remaining: 284s    
step 00147 (5.5%) | loss: 3.687024 | lrm: 1.00 | dt: 114ms | tok/sec: 1,719,828 | mfu: 39.4% | epoch: 1 | remaining: 283s    
step 00148 (5.5%) | loss: 3.683925 | lrm: 1.00 | dt: 113ms | tok/sec: 1,734,905 | mfu: 39.7% | epoch: 1 | remaining: 283s    
step 00149 (5.5%) | loss: 3.678755 | lrm: 1.00 | dt: 123ms | tok/sec: 1,601,597 | mfu: 36.7% | epoch: 1 | remaining: 283s    
step 00150 (5.6%) | loss: 3.671472 | lrm: 1.00 | dt: 113ms | tok/sec: 1,736,136 | mfu: 39.7% | epoch: 1 | remaining: 283s    
step 00151 (5.6%) | loss: 3.673304 | lrm: 1.00 | dt: 124ms | tok/sec: 1,582,055 | mfu: 36.2% | epoch: 1 | remaining: 283s    
