Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011339 | lrm: 1.00 | dt: 179549ms | tok/sec: 912 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.879735 | lrm: 1.00 | dt: 94ms | tok/sec: 1,742,928 | mfu: 42.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.522323 | lrm: 1.00 | dt: 96ms | tok/sec: 1,705,684 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.081635 | lrm: 1.00 | dt: 101ms | tok/sec: 1,617,328 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.715380 | lrm: 1.00 | dt: 97ms | tok/sec: 1,691,768 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.394413 | lrm: 1.00 | dt: 97ms | tok/sec: 1,684,259 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.141309 | lrm: 1.00 | dt: 97ms | tok/sec: 1,686,028 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.937731 | lrm: 1.00 | dt: 97ms | tok/sec: 1,682,688 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.760369 | lrm: 1.00 | dt: 98ms | tok/sec: 1,675,770 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.608596 | lrm: 1.00 | dt: 106ms | tok/sec: 1,541,476 | mfu: 37.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.481117 | lrm: 1.00 | dt: 111ms | tok/sec: 1,480,586 | mfu: 35.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.369956 | lrm: 1.00 | dt: 105ms | tok/sec: 1,566,695 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 6.277075 | lrm: 1.00 | dt: 112ms | tok/sec: 1,466,171 | mfu: 35.4% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.196759 | lrm: 1.00 | dt: 116ms | tok/sec: 1,415,460 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00068 (2.0%) | loss: 4.642251 | lrm: 1.00 | dt: 104ms | tok/sec: 1,578,477 | mfu: 38.1% | epoch: 1 | remaining: 294s    
step 00069 (2.1%) | loss: 4.619070 | lrm: 1.00 | dt: 100ms | tok/sec: 1,642,332 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00070 (2.1%) | loss: 4.597498 | lrm: 1.00 | dt: 101ms | tok/sec: 1,624,508 | mfu: 39.3% | epoch: 1 | remaining: 294s    
step 00071 (2.1%) | loss: 4.573699 | lrm: 1.00 | dt: 110ms | tok/sec: 1,495,582 | mfu: 36.1% | epoch: 1 | remaining: 293s    
step 00072 (2.2%) | loss: 4.554067 | lrm: 1.00 | dt: 97ms | tok/sec: 1,696,722 | mfu: 41.0% | epoch: 1 | remaining: 293s    
step 00073 (2.2%) | loss: 4.536691 | lrm: 1.00 | dt: 99ms | tok/sec: 1,660,965 | mfu: 40.1% | epoch: 1 | remaining: 293s    
step 00074 (2.2%) | loss: 4.512296 | lrm: 1.00 | dt: 101ms | tok/sec: 1,627,131 | mfu: 39.3% | epoch: 1 | remaining: 293s    
step 00075 (2.3%) | loss: 4.492991 | lrm: 1.00 | dt: 101ms | tok/sec: 1,625,796 | mfu: 39.3% | epoch: 1 | remaining: 293s    
step 00076 (2.3%) | loss: 4.467557 | lrm: 1.00 | dt: 99ms | tok/sec: 1,648,249 | mfu: 39.8% | epoch: 1 | remaining: 293s    
step 00077 (2.3%) | loss: 4.448883 | lrm: 1.00 | dt: 102ms | tok/sec: 1,607,890 | mfu: 38.8% | epoch: 1 | remaining: 293s    
step 00078 (2.4%) | loss: 4.424502 | lrm: 1.00 | dt: 100ms | tok/sec: 1,644,683 | mfu: 39.7% | epoch: 1 | remaining: 293s    
step 00079 (2.4%) | loss: 4.404778 | lrm: 1.00 | dt: 101ms | tok/sec: 1,625,057 | mfu: 39.3% | epoch: 1 | remaining: 293s    
step 00080 (2.4%) | loss: 4.389937 | lrm: 1.00 | dt: 100ms | tok/sec: 1,632,943 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00081 (2.5%) | loss: 4.374818 | lrm: 1.00 | dt: 100ms | tok/sec: 1,642,003 | mfu: 39.7% | epoch: 1 | remaining: 292s    
step 00082 (2.5%) | loss: 4.356298 | lrm: 1.00 | dt: 99ms | tok/sec: 1,650,153 | mfu: 39.9% | epoch: 1 | remaining: 292s    
step 00083 (2.5%) | loss: 4.339940 | lrm: 1.00 | dt: 99ms | tok/sec: 1,660,568 | mfu: 40.1% | epoch: 1 | remaining: 292s    
step 00084 (2.6%) | loss: 4.323279 | lrm: 1.00 | dt: 99ms | tok/sec: 1,652,248 | mfu: 39.9% | epoch: 1 | remaining: 292s    
step 00085 (2.6%) | loss: 4.308414 | lrm: 1.00 | dt: 101ms | tok/sec: 1,618,764 | mfu: 39.1% | epoch: 1 | remaining: 292s    
step 00086 (2.6%) | loss: 4.285560 | lrm: 1.00 | dt: 107ms | tok/sec: 1,533,629 | mfu: 37.1% | epoch: 1 | remaining: 292s    
step 00087 (2.7%) | loss: 4.265302 | lrm: 1.00 | dt: 101ms | tok/sec: 1,626,438 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00088 (2.7%) | loss: 4.251018 | lrm: 1.00 | dt: 101ms | tok/sec: 1,628,890 | mfu: 39.4% | epoch: 1 | remaining: 292s    
step 00089 (2.7%) | loss: 4.241307 | lrm: 1.00 | dt: 101ms | tok/sec: 1,620,295 | mfu: 39.1% | epoch: 1 | remaining: 292s    
step 00090 (2.8%) | loss: 4.224907 | lrm: 1.00 | dt: 101ms | tok/sec: 1,617,819 | mfu: 39.1% | epoch: 1 | remaining: 292s    
step 00091 (2.8%) | loss: 4.209254 | lrm: 1.00 | dt: 100ms | tok/sec: 1,646,369 | mfu: 39.8% | epoch: 1 | remaining: 291s    
step 00092 (2.8%) | loss: 4.196810 | lrm: 1.00 | dt: 100ms | tok/sec: 1,639,038 | mfu: 39.6% | epoch: 1 | remaining: 291s    
step 00093 (2.9%) | loss: 4.184785 | lrm: 1.00 | dt: 100ms | tok/sec: 1,638,206 | mfu: 39.6% | epoch: 1 | remaining: 291s    
step 00094 (2.9%) | loss: 4.168648 | lrm: 1.00 | dt: 110ms | tok/sec: 1,485,595 | mfu: 35.9% | epoch: 1 | remaining: 291s    
step 00095 (3.0%) | loss: 4.156775 | lrm: 1.00 | dt: 98ms | tok/sec: 1,670,640 | mfu: 40.4% | epoch: 1 | remaining: 291s    
step 00096 (3.0%) | loss: 4.146777 | lrm: 1.00 | dt: 100ms | tok/sec: 1,637,144 | mfu: 39.6% | epoch: 1 | remaining: 291s    
step 00097 (3.0%) | loss: 4.131040 | lrm: 1.00 | dt: 107ms | tok/sec: 1,525,089 | mfu: 36.8% | epoch: 1 | remaining: 291s    
step 00098 (3.1%) | loss: 4.119249 | lrm: 1.00 | dt: 99ms | tok/sec: 1,658,536 | mfu: 40.1% | epoch: 1 | remaining: 291s    
step 00099 (3.1%) | loss: 4.104327 | lrm: 1.00 | dt: 101ms | tok/sec: 1,619,703 | mfu: 39.1% | epoch: 1 | remaining: 291s    
step 00100 (3.1%) | loss: 4.087113 | lrm: 1.00 | dt: 100ms | tok/sec: 1,635,263 | mfu: 39.5% | epoch: 1 | remaining: 291s    
step 00101 (3.2%) | loss: 4.073934 | lrm: 1.00 | dt: 118ms | tok/sec: 1,384,666 | mfu: 33.5% | epoch: 1 | remaining: 290s    
step 00102 (3.2%) | loss: 4.066183 | lrm: 1.00 | dt: 97ms | tok/sec: 1,688,107 | mfu: 40.8% | epoch: 1 | remaining: 290s    
step 00103 (3.2%) | loss: 4.051687 | lrm: 1.00 | dt: 100ms | tok/sec: 1,634,345 | mfu: 39.5% | epoch: 1 | remaining: 290s    
step 00104 (3.3%) | loss: 4.036957 | lrm: 1.00 | dt: 100ms | tok/sec: 1,636,216 | mfu: 39.5% | epoch: 1 | remaining: 290s    
step 00105 (3.3%) | loss: 4.021214 | lrm: 1.00 | dt: 99ms | tok/sec: 1,651,402 | mfu: 39.9% | epoch: 1 | remaining: 290s    
step 00106 (3.3%) | loss: 4.012924 | lrm: 1.00 | dt: 100ms | tok/sec: 1,637,597 | mfu: 39.6% | epoch: 1 | remaining: 290s    
step 00107 (3.4%) | loss: 3.999213 | lrm: 1.00 | dt: 114ms | tok/sec: 1,432,825 | mfu: 34.6% | epoch: 1 | remaining: 290s    
step 00108 (3.4%) | loss: 3.990829 | lrm: 1.00 | dt: 108ms | tok/sec: 1,518,665 | mfu: 36.7% | epoch: 1 | remaining: 290s    
step 00109 (3.4%) | loss: 3.977871 | lrm: 1.00 | dt: 97ms | tok/sec: 1,691,144 | mfu: 40.9% | epoch: 1 | remaining: 290s    
step 00110 (3.5%) | loss: 3.959828 | lrm: 1.00 | dt: 101ms | tok/sec: 1,621,189 | mfu: 39.2% | epoch: 1 | remaining: 290s    
step 00111 (3.5%) | loss: 3.949274 | lrm: 1.00 | dt: 101ms | tok/sec: 1,621,977 | mfu: 39.2% | epoch: 1 | remaining: 289s    
step 00112 (3.5%) | loss: 3.934076 | lrm: 1.00 | dt: 99ms | tok/sec: 1,659,582 | mfu: 40.1% | epoch: 1 | remaining: 289s    
step 00113 (3.6%) | loss: 3.925170 | lrm: 1.00 | dt: 104ms | tok/sec: 1,579,434 | mfu: 38.2% | epoch: 1 | remaining: 289s    
step 00114 (3.6%) | loss: 3.915810 | lrm: 1.00 | dt: 104ms | tok/sec: 1,575,209 | mfu: 38.1% | epoch: 1 | remaining: 289s    
step 00115 (3.6%) | loss: 3.909331 | lrm: 1.00 | dt: 107ms | tok/sec: 1,536,695 | mfu: 37.1% | epoch: 1 | remaining: 289s    
step 00116 (3.7%) | loss: 3.905143 | lrm: 1.00 | dt: 110ms | tok/sec: 1,487,634 | mfu: 35.9% | epoch: 1 | remaining: 289s    
step 00117 (3.7%) | loss: 3.896463 | lrm: 1.00 | dt: 99ms | tok/sec: 1,650,073 | mfu: 39.9% | epoch: 1 | remaining: 289s    
step 00118 (3.7%) | loss: 3.888105 | lrm: 1.00 | dt: 99ms | tok/sec: 1,648,186 | mfu: 39.8% | epoch: 1 | remaining: 289s    
step 00119 (3.8%) | loss: 3.880900 | lrm: 1.00 | dt: 105ms | tok/sec: 1,556,894 | mfu: 37.6% | epoch: 1 | remaining: 289s    
step 00120 (3.8%) | loss: 3.874244 | lrm: 1.00 | dt: 99ms | tok/sec: 1,658,548 | mfu: 40.1% | epoch: 1 | remaining: 288s    
step 00121 (3.8%) | loss: 3.866954 | lrm: 1.00 | dt: 99ms | tok/sec: 1,651,326 | mfu: 39.9% | epoch: 1 | remaining: 288s    
step 00122 (3.9%) | loss: 3.857863 | lrm: 1.00 | dt: 100ms | tok/sec: 1,635,987 | mfu: 39.5% | epoch: 1 | remaining: 288s    
step 00123 (3.9%) | loss: 3.850830 | lrm: 1.00 | dt: 101ms | tok/sec: 1,620,146 | mfu: 39.1% | epoch: 1 | remaining: 288s    
step 00124 (3.9%) | loss: 3.844376 | lrm: 1.00 | dt: 101ms | tok/sec: 1,616,616 | mfu: 39.1% | epoch: 1 | remaining: 288s    
step 00125 (4.0%) | loss: 3.840513 | lrm: 1.00 | dt: 100ms | tok/sec: 1,630,699 | mfu: 39.4% | epoch: 1 | remaining: 288s    
step 00126 (4.0%) | loss: 3.838203 | lrm: 1.00 | dt: 102ms | tok/sec: 1,612,391 | mfu: 39.0% | epoch: 1 | remaining: 288s    
step 00127 (4.0%) | loss: 3.832756 | lrm: 1.00 | dt: 105ms | tok/sec: 1,558,158 | mfu: 37.6% | epoch: 1 | remaining: 288s    
step 00128 (4.1%) | loss: 3.822893 | lrm: 1.00 | dt: 99ms | tok/sec: 1,658,768 | mfu: 40.1% | epoch: 1 | remaining: 288s    
step 00129 (4.1%) | loss: 3.807884 | lrm: 1.00 | dt: 100ms | tok/sec: 1,639,054 | mfu: 39.6% | epoch: 1 | remaining: 288s    
step 00130 (4.1%) | loss: 3.799514 | lrm: 1.00 | dt: 100ms | tok/sec: 1,645,061 | mfu: 39.7% | epoch: 1 | remaining: 287s    
step 00131 (4.2%) | loss: 3.790357 | lrm: 1.00 | dt: 99ms | tok/sec: 1,646,985 | mfu: 39.8% | epoch: 1 | remaining: 287s    
step 00132 (4.2%) | loss: 3.780774 | lrm: 1.00 | dt: 100ms | tok/sec: 1,637,008 | mfu: 39.6% | epoch: 1 | remaining: 287s    
step 00133 (4.2%) | loss: 3.773351 | lrm: 1.00 | dt: 100ms | tok/sec: 1,634,714 | mfu: 39.5% | epoch: 1 | remaining: 287s    
step 00134 (4.3%) | loss: 3.773011 | lrm: 1.00 | dt: 100ms | tok/sec: 1,632,070 | mfu: 39.4% | epoch: 1 | remaining: 287s    
step 00135 (4.3%) | loss: 3.764068 | lrm: 1.00 | dt: 106ms | tok/sec: 1,547,631 | mfu: 37.4% | epoch: 1 | remaining: 287s    
step 00136 (4.3%) | loss: 3.758313 | lrm: 1.00 | dt: 100ms | tok/sec: 1,637,796 | mfu: 39.6% | epoch: 1 | remaining: 287s    
step 00137 (4.4%) | loss: 3.754820 | lrm: 1.00 | dt: 116ms | tok/sec: 1,410,860 | mfu: 34.1% | epoch: 1 | remaining: 287s    
step 00138 (4.4%) | loss: 3.748348 | lrm: 1.00 | dt: 98ms | tok/sec: 1,678,746 | mfu: 40.6% | epoch: 1 | remaining: 287s    
step 00139 (4.4%) | loss: 3.742671 | lrm: 1.00 | dt: 99ms | tok/sec: 1,653,273 | mfu: 39.9% | epoch: 1 | remaining: 287s    
step 00140 (4.5%) | loss: 3.740583 | lrm: 1.00 | dt: 100ms | tok/sec: 1,645,305 | mfu: 39.8% | epoch: 1 | remaining: 286s    
step 00141 (4.5%) | loss: 3.730369 | lrm: 1.00 | dt: 100ms | tok/sec: 1,643,467 | mfu: 39.7% | epoch: 1 | remaining: 286s    
step 00142 (4.5%) | loss: 3.728151 | lrm: 1.00 | dt: 112ms | tok/sec: 1,460,162 | mfu: 35.3% | epoch: 1 | remaining: 286s    
step 00143 (4.6%) | loss: 3.722530 | lrm: 1.00 | dt: 124ms | tok/sec: 1,319,045 | mfu: 31.9% | epoch: 1 | remaining: 286s    
step 00144 (4.6%) | loss: 3.718995 | lrm: 1.00 | dt: 96ms | tok/sec: 1,702,409 | mfu: 41.1% | epoch: 1 | remaining: 286s    
step 00145 (4.7%) | loss: 3.712697 | lrm: 1.00 | dt: 98ms | tok/sec: 1,665,635 | mfu: 40.2% | epoch: 1 | remaining: 286s    
step 00146 (4.7%) | loss: 3.705721 | lrm: 1.00 | dt: 101ms | tok/sec: 1,624,958 | mfu: 39.3% | epoch: 1 | remaining: 286s    
step 00147 (4.7%) | loss: 3.703072 | lrm: 1.00 | dt: 99ms | tok/sec: 1,654,332 | mfu: 40.0% | epoch: 1 | remaining: 286s    
step 00148 (4.8%) | loss: 3.696520 | lrm: 1.00 | dt: 99ms | tok/sec: 1,657,104 | mfu: 40.0% | epoch: 1 | remaining: 286s    
step 00149 (4.8%) | loss: 3.695431 | lrm: 1.00 | dt: 100ms | tok/sec: 1,646,357 | mfu: 39.8% | epoch: 1 | remaining: 286s    
step 00150 (4.8%) | loss: 3.685541 | lrm: 1.00 | dt: 99ms | tok/sec: 1,650,787 | mfu: 39.9% | epoch: 1 | remaining: 285s    
step 00151 (4.9%) | loss: 3.682163 | lrm: 1.00 | dt: 101ms | tok/sec: 1,626,200 | mfu: 39.3% | epoch: 1 | remaining: 285s    
step 00152 (4.9%) | loss: 3.669358 | lrm: 1.00 | dt: 103ms | tok/sec: 1,596,920 | mfu: 38.6% | epoch: 1 | remaining: 285s    
